QID DOCID Rank IsRelevant  Precision Recall 
1 202 75 0 0.040 0.600
1 2153 76 0 0.039 0.600
1 1295 77 0 0.039 0.600
1 1168 78 0 0.038 0.600
1 252 79 0 0.038 0.600
1 2766 80 0 0.037 0.600
1 2398 81 0 0.037 0.600
1 887 82 0 0.037 0.600
1 1752 83 0 0.036 0.600
1 3134 84 0 0.036 0.600
1 2681 85 0 0.035 0.600
1 1750 86 0 0.035 0.600
1 2868 87 0 0.034 0.600
1 1034 88 0 0.034 0.600
1 2627 89 0 0.034 0.600
1 971 90 0 0.033 0.600
1 2470 91 0 0.033 0.600
1 1853 92 0 0.033 0.600
1 2714 93 0 0.032 0.600
1 2951 94 0 0.032 0.600
1 2747 95 0 0.032 0.600
1 2535 96 0 0.031 0.600
1 2188 97 0 0.031 0.600
1 2033 98 0 0.031 0.600
1 1518 99 0 0.030 0.600
1 2388 100 0 0.030 0.600
2 727 1 0 0.000 0.000
2 2714 2 0 0.000 0.000
2 335 3 0 0.000 0.000
2 2554 4 0 0.000 0.000
2 3059 5 0 0.000 0.000
2 47 6 0 0.000 0.000
2 1364 7 0 0.000 0.000
2 2250 8 0 0.000 0.000
2 372 9 0 0.000 0.000
2 394 10 0 0.000 0.000
2 246 11 0 0.000 0.000
2 3078 12 1 0.083 0.333
2 740 13 0 0.077 0.333
2 569 14 0 0.071 0.333
2 563 15 0 0.067 0.333
2 391 16 0 0.062 0.333
2 1702 17 0 0.059 0.333
2 290 18 0 0.056 0.333
2 998 19 0 0.053 0.333
2 2638 20 0 0.050 0.333
2 459 21 0 0.048 0.333
2 1182 22 0 0.045 0.333
2 1990 23 0 0.043 0.333
2 993 24 0 0.042 0.333
2 741 25 0 0.040 0.333
2 742 26 0 0.038 0.333
2 772 27 0 0.037 0.333
2 673 28 0 0.036 0.333
2 1320 29 0 0.034 0.333
2 645 30 0 0.033 0.333
2 269 31 0 0.032 0.333
2 2650 32 0 0.031 0.333
2 2422 33 0 0.030 0.333
2 622 34 0 0.029 0.333
2 623 35 0 0.029 0.333
2 624 36 0 0.028 0.333
2 131 37 0 0.027 0.333
2 108 38 0 0.026 0.333
2 626 39 0 0.026 0.333
2 3136 40 0 0.025 0.333
2 2757 41 0 0.024 0.333
2 1941 42 0 0.024 0.333
2 517 43 0 0.023 0.333
2 2386 44 0 0.023 0.333
2 130 45 0 0.022 0.333
2 497 46 0 0.022 0.333
2 1012 47 0 0.021 0.333
2 2328 48 0 0.021 0.333
2 275 49 0 0.020 0.333
2 1136 50 0 0.020 0.333
2 2472 51 0 0.020 0.333
2 2039 52 0 0.019 0.333
2 550 53 0 0.019 0.333
2 539 54 0 0.019 0.333
2 756 55 0 0.018 0.333
2 314 56 0 0.018 0.333
2 968 57 0 0.018 0.333
2 2440 58 0 0.017 0.333
2 1096 59 0 0.017 0.333
2 1981 60 0 0.017 0.333
2 408 61 0 0.016 0.333
2 2510 62 0 0.016 0.333
2 1082 63 0 0.016 0.333
2 646 64 0 0.016 0.333
2 330 65 0 0.015 0.333
2 2917 66 0 0.015 0.333
2 2863 67 1 0.030 0.667
2 2352 68 0 0.029 0.667
2 1821 69 0 0.029 0.667
2 102 70 0 0.029 0.667
2 27 71 0 0.028 0.667
2 1619 72 0 0.028 0.667
2 2577 73 0 0.027 0.667
2 2663 74 0 0.027 0.667
2 2434 75 1 0.040 1.000
2 2735 76 0 0.039 1.000
2 854 77 0 0.039 1.000
2 597 78 0 0.038 1.000
2 927 79 0 0.038 1.000
2 2939 80 0 0.037 1.000
2 33 81 0 0.037 1.000
2 3129 82 0 0.037 1.000
2 2331 83 0 0.036 1.000
2 1480 84 0 0.036 1.000
2 80 85 0 0.035 1.000
2 853 86 0 0.035 1.000
2 279 87 0 0.034 1.000
2 1822 88 0 0.034 1.000
2 1730 89 0 0.034 1.000
2 3034 90 0 0.033 1.000
2 2143 91 0 0.033 1.000
2 2905 92 0 0.033 1.000
2 2120 93 0 0.032 1.000
2 1931 94 0 0.032 1.000
2 292 95 0 0.032 1.000
2 1814 96 0 0.031 1.000
2 36 97 0 0.031 1.000
2 2653 98 0 0.031 1.000
2 890 99 0 0.030 1.000
2 1882 100 0 0.030 1.000
3 1387 1 0 0.000 0.000
3 854 2 0 0.000 0.000
3 3034 3 0 0.000 0.000
3 3048 4 0 0.000 0.000
3 2208 5 0 0.000 0.000
3 3080 6 0 0.000 0.000
3 2525 7 0 0.000 0.000
3 1884 8 0 0.000 0.000
3 1572 9 0 0.000 0.000
3 2978 10 0 0.000 0.000
3 1847 11 0 0.000 0.000
3 1807 12 1 0.083 0.167
3 3115 13 0 0.077 0.167
3 2746 14 0 0.071 0.167
3 1725 15 0 0.067 0.167
3 3130 16 0 0.062 0.167
3 1527 17 0 0.059 0.167
3 2154 18 0 0.056 0.167
3 2216 19 0 0.053 0.167
3 2939 20 0 0.050 0.167
3 2344 21 0 0.048 0.167
3 3096 22 0 0.045 0.167
3 1678 23 0 0.043 0.167
3 1383 24 0 0.042 0.167
3 637 25 0 0.040 0.167
3 1727 26 0 0.038 0.167
3 1976 27 0 0.037 0.167
3 3002 28 0 0.036 0.167
3 1196 29 0 0.034 0.167
3 2061 30 0 0.033 0.167
3 1827 31 0 0.032 0.167
3 3000 32 0 0.031 0.167
3 605 33 0 0.030 0.167
3 2876 34 0 0.029 0.167
3 3200 35 0 0.029 0.167
3 2867 36 0 0.028 0.167
3 1951 37 0 0.027 0.167
3 2554 38 0 0.026 0.167
3 596 39 0 0.026 0.167
3 3135 40 0 0.025 0.167
3 2888 41 0 0.024 0.167
3 3059 42 0 0.024 0.167
3 2918 43 0 0.023 0.167
3 2905 44 0 0.023 0.167
3 2033 45 0 0.022 0.167
3 2551 46 0 0.022 0.167
3 1402 47 0 0.021 0.167
3 2247 48 0 0.021 0.167
3 2721 49 0 0.020 0.167
3 3076 50 0 0.020 0.167
3 1392 51 0 0.020 0.167
3 3056 52 0 0.019 0.167
3 1665 53 0 0.019 0.167
3 1488 54 0 0.019 0.167
3 2932 55 0 0.018 0.167
3 2886 56 0 0.018 0.167
3 1206 57 0 0.018 0.167
3 2658 58 0 0.017 0.167
3 2053 59 0 0.017 0.167
3 2882 60 0 0.017 0.167
3 3075 61 0 0.016 0.167
3 3030 62 0 0.016 0.167
3 1684 63 0 0.016 0.167
3 2990 64 0 0.016 0.167
3 1809 65 0 0.015 0.167
3 1014 66 0 0.015 0.167
3 1315 67 0 0.015 0.167
3 2928 68 0 0.015 0.167
3 1997 69 0 0.014 0.167
3 248 70 0 0.014 0.167
3 2598 71 0 0.014 0.167
3 1029 72 0 0.014 0.167
3 59 73 0 0.014 0.167
3 2996 74 0 0.014 0.167
3 1946 75 0 0.013 0.167
3 3128 76 0 0.013 0.167
3 2572 77 0 0.013 0.167
3 2166 78 0 0.013 0.167
3 86 79 0 0.013 0.167
3 1664 80 0 0.013 0.167
3 1834 81 0 0.012 0.167
3 1916 82 0 0.012 0.167
3 1003 83 0 0.012 0.167
3 2987 84 0 0.012 0.167
3 1623 85 0 0.012 0.167
3 3077 86 0 0.012 0.167
3 2341 87 0 0.011 0.167
3 1846 88 0 0.011 0.167
3 2111 89 0 0.011 0.167
3 2864 90 0 0.011 0.167
3 2889 91 0 0.011 0.167
3 1650 92 0 0.011 0.167
3 1292 93 0 0.011 0.167
3 1533 94 0 0.011 0.167
3 531 95 0 0.011 0.167
3 1457 96 0 0.010 0.167
3 1604 97 0 0.010 0.167
3 2887 98 0 0.010 0.167
3 1928 99 0 0.010 0.167
3 3195 100 0 0.010 0.167
4 2342 1 0 0.000 0.000
4 2554 2 0 0.000 0.000
4 3048 3 0 0.000 0.000
4 1527 4 0 0.000 0.000
4 1724 5 0 0.000 0.000
4 3049 6 0 0.000 0.000
4 2481 7 0 0.000 0.000
4 2344 8 0 0.000 0.000
4 1961 9 0 0.000 0.000
4 3002 10 0 0.000 0.000
4 3128 11 1 0.091 0.083
4 2958 12 0 0.083 0.083
4 2219 13 0 0.077 0.083
4 3080 14 0 0.071 0.083
4 2876 15 0 0.067 0.083
4 1827 16 0 0.062 0.083
4 2208 17 0 0.059 0.083
4 1847 18 0 0.056 0.083
4 1525 19 0 0.053 0.083
4 2682 20 0 0.050 0.083
4 1425 21 0 0.048 0.083
4 3134 22 0 0.045 0.083
4 2978 23 0 0.043 0.083
4 2031 24 0 0.042 0.083
4 2746 25 0 0.040 0.083
4 2525 26 0 0.038 0.083
4 1846 27 0 0.037 0.083
4 1727 28 0 0.036 0.083
4 1665 29 0 0.034 0.083
4 1678 30 0 0.033 0.083
4 1012 31 0 0.032 0.083
4 1884 32 0 0.031 0.083
4 3148 33 0 0.030 0.083
4 2870 34 0 0.029 0.083
4 2905 35 0 0.029 0.083
4 2799 36 0 0.028 0.083
4 3000 37 0 0.027 0.083
4 2650 38 0 0.026 0.083
4 854 39 0 0.026 0.083
4 1856 40 0 0.025 0.083
4 2987 41 0 0.024 0.083
4 1748 42 0 0.024 0.083
4 2451 43 0 0.023 0.083
4 2569 44 0 0.023 0.083
4 2033 45 0 0.022 0.083
4 3043 46 1 0.043 0.167
4 2216 47 0 0.043 0.167
4 2696 48 0 0.042 0.167
4 2455 49 0 0.041 0.167
4 3046 50 0 0.040 0.167
4 2519 51 0 0.039 0.167
4 3141 52 0 0.038 0.167
4 2376 53 0 0.038 0.167
4 527 54 0 0.037 0.167
4 2371 55 1 0.055 0.250
4 1997 56 0 0.054 0.250
4 1708 57 0 0.053 0.250
4 1188 58 0 0.052 0.250
4 3115 59 0 0.051 0.250
4 1053 60 0 0.050 0.250
4 1936 61 0 0.049 0.250
4 3082 62 1 0.065 0.333
4 1572 63 0 0.063 0.333
4 2597 64 1 0.078 0.417
4 2834 65 0 0.077 0.417
4 1752 66 0 0.076 0.417
4 1664 67 0 0.075 0.417
4 1807 68 0 0.074 0.417
4 3034 69 0 0.072 0.417
4 1976 70 0 0.071 0.417
4 2167 71 0 0.070 0.417
4 2949 72 0 0.069 0.417
4 2003 73 0 0.068 0.417
4 1230 74 0 0.068 0.417
4 3137 75 0 0.067 0.417
4 2227 76 0 0.066 0.417
4 278 77 0 0.065 0.417
4 3013 78 0 0.064 0.417
4 1497 79 0 0.063 0.417
4 1592 80 0 0.062 0.417
4 3121 81 0 0.062 0.417
4 2377 82 0 0.061 0.417
4 1155 83 0 0.060 0.417
4 2470 84 0 0.060 0.417
4 1829 85 0 0.059 0.417
4 70 86 0 0.058 0.417
4 2341 87 0 0.057 0.417
4 2619 88 0 0.057 0.417
4 3042 89 0 0.056 0.417
4 2247 90 0 0.056 0.417
4 2939 91 0 0.055 0.417
4 1083 92 0 0.054 0.417
4 1430 93 0 0.054 0.417
4 2456 94 0 0.053 0.417
4 2545 95 0 0.053 0.417
4 2061 96 0 0.052 0.417
4 1854 97 0 0.052 0.417
4 2740 98 0 0.051 0.417
4 40 99 0 0.051 0.417
4 2684 100 0 0.050 0.417
5 2554 1 0 0.000 0.000
5 2003 2 0 0.000 0.000
5 1724 3 0 0.000 0.000
5 3048 4 0 0.000 0.000
5 1827 5 0 0.000 0.000
5 2344 6 0 0.000 0.000
5 2525 7 0 0.000 0.000
5 1727 8 0 0.000 0.000
5 2682 9 0 0.000 0.000
5 1664 10 0 0.000 0.000
5 2216 11 0 0.000 0.000
5 1961 12 0 0.000 0.000
5 2628 13 0 0.000 0.000
5 2911 14 0 0.000 0.000
5 3002 15 0 0.000 0.000
5 1425 16 0 0.000 0.000
5 2978 17 0 0.000 0.000
5 3049 18 0 0.000 0.000
5 1173 19 0 0.000 0.000
5 2470 20 0 0.000 0.000
5 2876 21 0 0.000 0.000
5 2219 22 0 0.000 0.000
5 2208 23 0 0.000 0.000
5 2834 24 0 0.000 0.000
5 2481 25 0 0.000 0.000
5 1951 26 0 0.000 0.000
5 2889 27 0 0.000 0.000
5 2645 28 0 0.000 0.000
5 2746 29 0 0.000 0.000
5 854 30 0 0.000 0.000
5 2874 31 0 0.000 0.000
5 1856 32 0 0.000 0.000
5 1847 33 0 0.000 0.000
5 1725 34 0 0.000 0.000
5 1741 35 0 0.000 0.000
5 3134 36 0 0.000 0.000
5 2035 37 1 0.027 0.125
5 1281 38 0 0.026 0.125
5 671 39 0 0.026 0.125
5 1665 40 0 0.025 0.125
5 1534 41 0 0.024 0.125
5 1571 42 0 0.024 0.125
5 2455 43 0 0.023 0.125
5 1497 44 0 0.023 0.125
5 1525 45 0 0.022 0.125
5 2167 46 0 0.022 0.125
5 3076 47 0 0.021 0.125
5 2799 48 0 0.021 0.125
5 3046 49 0 0.020 0.125
5 1527 50 0 0.020 0.125
5 1829 51 0 0.020 0.125
5 1395 52 0 0.019 0.125
5 3000 53 0 0.019 0.125
5 2252 54 0 0.019 0.125
5 1752 55 0 0.018 0.125
5 2033 56 0 0.018 0.125
5 2841 57 0 0.018 0.125
5 2479 58 0 0.017 0.125
5 1748 59 0 0.017 0.125
5 1392 60 0 0.017 0.125
5 1807 61 0 0.016 0.125
5 1853 62 0 0.016 0.125
5 2186 63 0 0.016 0.125
5 2569 64 0 0.016 0.125
5 3080 65 0 0.015 0.125
5 1936 66 0 0.015 0.125
5 2359 67 0 0.015 0.125
5 2031 68 0 0.015 0.125
5 2154 69 0 0.014 0.125
5 892 70 0 0.014 0.125
5 2247 71 0 0.014 0.125
5 2916 72 0 0.014 0.125
5 2163 73 0 0.014 0.125
5 1572 74 0 0.014 0.125
5 1194 75 0 0.013 0.125
5 2354 76 0 0.013 0.125
5 1108 77 0 0.013 0.125
5 3200 78 0 0.013 0.125
5 1272 79 0 0.013 0.125
5 3035 80 0 0.013 0.125
5 3166 81 0 0.012 0.125
5 855 82 0 0.012 0.125
5 2187 83 0 0.012 0.125
5 3130 84 0 0.012 0.125
5 2399 85 1 0.024 0.250
5 2277 86 0 0.023 0.250
5 2772 87 0 0.023 0.250
5 2734 88 0 0.023 0.250
5 3059 89 0 0.022 0.250
5 2283 90 0 0.022 0.250
5 1976 91 0 0.022 0.250
5 2985 92 0 0.022 0.250
5 3154 93 0 0.022 0.250
5 1233 94 0 0.021 0.250
5 1206 95 0 0.021 0.250
5 1171 96 0 0.021 0.250
5 695 97 0 0.021 0.250
5 1671 98 0 0.020 0.250
5 2061 99 0 0.020 0.250
5 3150 100 0 0.020 0.250
6 3048 1 0 0.000 0.000
6 2554 2 0 0.000 0.000
6 2978 3 0 0.000 0.000
6 1827 4 0 0.000 0.000
6 1727 5 0 0.000 0.000
6 3002 6 0 0.000 0.000
6 2525 7 0 0.000 0.000
6 2216 8 0 0.000 0.000
6 2834 9 0 0.000 0.000
6 1847 10 0 0.000 0.000
6 3000 11 0 0.000 0.000
6 2344 12 0 0.000 0.000
6 3080 13 0 0.000 0.000
6 1664 14 0 0.000 0.000
6 2208 15 0 0.000 0.000
6 854 16 0 0.000 0.000
6 3076 17 0 0.000 0.000
6 3059 18 0 0.000 0.000
6 1724 19 0 0.000 0.000
6 2154 20 0 0.000 0.000
6 1725 21 0 0.000 0.000
6 3035 22 0 0.000 0.000
6 2682 23 0 0.000 0.000
6 3034 24 0 0.000 0.000
6 1961 25 0 0.000 0.000
6 2481 26 0 0.000 0.000
6 2721 27 0 0.000 0.000
6 2470 28 0 0.000 0.000
6 1634 29 0 0.000 0.000
6 1425 30 0 0.000 0.000
6 1527 31 0 0.000 0.000
6 1951 32 0 0.000 0.000
6 2911 33 0 0.000 0.000
6 2996 34 0 0.000 0.000
6 2889 35 0 0.000 0.000
6 2746 36 0 0.000 0.000
6 1884 37 0 0.000 0.000
6 2628 38 0 0.000 0.000
6 1665 39 0 0.000 0.000
6 1748 40 0 0.000 0.000
6 2003 41 0 0.000 0.000
6 671 42 0 0.000 0.000
6 3130 43 0 0.000 0.000
6 1366 44 0 0.000 0.000
6 3134 45 0 0.000 0.000
6 1856 46 0 0.000 0.000
6 2187 47 0 0.000 0.000
6 695 48 0 0.000 0.000
6 1353 49 0 0.000 0.000
6 1387 50 0 0.000 0.000
6 3049 51 0 0.000 0.000
6 3077 52 0 0.000 0.000
6 1752 53 0 0.000 0.000
6 2987 54 0 0.000 0.000
6 2263 55 0 0.000 0.000
6 694 56 0 0.000 0.000
6 1572 57 0 0.000 0.000
6 2167 58 0 0.000 0.000
6 2031 59 0 0.000 0.000
6 2264 60 0 0.000 0.000
6 2219 61 0 0.000 0.000
6 2805 62 0 0.000 0.000
6 3200 63 0 0.000 0.000
6 2616 64 0 0.000 0.000
6 3166 65 0 0.000 0.000
6 1233 66 0 0.000 0.000
6 1753 67 0 0.000 0.000
6 2354 68 0 0.000 0.000
6 2033 69 0 0.000 0.000
6 3150 70 0 0.000 0.000
6 1678 71 0 0.000 0.000
6 1604 72 0 0.000 0.000
6 3046 73 0 0.000 0.000
6 2163 74 0 0.000 0.000
6 2046 75 0 0.000 0.000
6 86 76 0 0.000 0.000
6 2874 77 0 0.000 0.000
6 1807 78 0 0.000 0.000
6 2841 79 0 0.000 0.000
6 2882 80 0 0.000 0.000
6 1976 81 0 0.000 0.000
6 605 82 0 0.000 0.000
6 2799 83 0 0.000 0.000
6 1206 84 0 0.000 0.000
6 670 85 0 0.000 0.000
6 2958 86 0 0.000 0.000
6 1457 87 0 0.000 0.000
6 1445 88 0 0.000 0.000
6 2061 89 0 0.000 0.000
6 2389 90 0 0.000 0.000
6 1534 91 0 0.000 0.000
6 3154 92 0 0.000 0.000
6 70 93 0 0.000 0.000
6 2342 94 0 0.000 0.000
6 2905 95 0 0.000 0.000
6 2892 96 0 0.000 0.000
6 855 97 0 0.000 0.000
6 1173 98 0 0.000 0.000
6 2810 99 0 0.000 0.000
6 1182 100 0 0.000 0.000
7 3048 1 0 0.000 0.000
7 2342 2 1 0.500 0.036
7 2554 3 0 0.333 0.036
7 2344 4 0 0.250 0.036
7 1727 5 0 0.200 0.036
7 3043 6 1 0.333 0.071
7 2216 7 0 0.286 0.071
7 2208 8 0 0.250 0.071
7 3128 9 1 0.333 0.107
7 1724 10 0 0.300 0.107
7 3059 11 0 0.273 0.107
7 2978 12 0 0.250 0.107
7 3148 13 1 0.308 0.143
7 3080 14 0 0.286 0.143
7 1725 15 0 0.267 0.143
7 2470 16 0 0.250 0.143
7 3049 17 0 0.235 0.143
7 2219 18 0 0.222 0.143
7 2740 19 0 0.211 0.143
7 2682 20 0 0.200 0.143
7 1847 21 0 0.190 0.143
7 1527 22 0 0.182 0.143
7 1827 23 0 0.174 0.143
7 1173 24 0 0.167 0.143
7 2911 25 0 0.160 0.143
7 3002 26 0 0.154 0.143
7 1664 27 0 0.148 0.143
7 2525 28 0 0.143 0.143
7 1951 29 0 0.138 0.143
7 854 30 0 0.133 0.143
7 1748 31 0 0.129 0.143
7 1961 32 0 0.125 0.143
7 2481 33 0 0.121 0.143
7 2746 34 0 0.118 0.143
7 3000 35 0 0.114 0.143
7 1665 36 0 0.111 0.143
7 2958 37 0 0.108 0.143
7 3137 38 0 0.105 0.143
7 3141 39 1 0.128 0.179
7 2031 40 0 0.125 0.179
7 3076 41 0 0.122 0.179
7 1922 42 0 0.119 0.179
7 2834 43 0 0.116 0.179
7 1846 44 0 0.114 0.179
7 2154 45 0 0.111 0.179
7 1854 46 0 0.109 0.179
7 2376 47 1 0.128 0.214
7 2865 48 1 0.146 0.250
7 2882 49 0 0.143 0.250
7 2889 50 0 0.140 0.250
7 851 51 0 0.137 0.250
7 2003 52 0 0.135 0.250
7 1856 53 0 0.132 0.250
7 2949 54 0 0.130 0.250
7 2905 55 0 0.127 0.250
7 2628 56 0 0.125 0.250
7 1425 57 0 0.123 0.250
7 2479 58 0 0.121 0.250
7 3134 59 0 0.119 0.250
7 2874 60 0 0.117 0.250
7 2227 61 0 0.115 0.250
7 1753 62 0 0.113 0.250
7 1572 63 0 0.111 0.250
7 1884 64 0 0.109 0.250
7 3042 65 0 0.108 0.250
7 86 66 0 0.106 0.250
7 2264 67 0 0.104 0.250
7 2167 68 0 0.103 0.250
7 2354 69 0 0.101 0.250
7 855 70 0 0.100 0.250
7 3046 71 0 0.099 0.250
7 1976 72 0 0.097 0.250
7 2876 73 0 0.096 0.250
7 2734 74 0 0.095 0.250
7 3170 75 0 0.093 0.250
7 671 76 0 0.092 0.250
7 2033 77 0 0.091 0.250
7 1752 78 0 0.090 0.250
7 2987 79 0 0.089 0.250
7 3200 80 0 0.087 0.250
7 2996 81 0 0.086 0.250
7 2645 82 0 0.085 0.250
7 2870 83 0 0.084 0.250
7 2772 84 0 0.083 0.250
7 70 85 0 0.082 0.250
7 1497 86 0 0.081 0.250
7 1807 87 0 0.080 0.250
7 3154 88 0 0.080 0.250
7 2455 89 0 0.079 0.250
7 2799 90 0 0.078 0.250
7 1637 91 0 0.077 0.250
7 1171 92 0 0.076 0.250
7 730 93 0 0.075 0.250
7 1534 94 0 0.074 0.250
7 1098 95 0 0.074 0.250
7 1741 96 0 0.073 0.250
7 3166 97 0 0.072 0.250
7 2379 98 0 0.071 0.250
7 1366 99 0 0.071 0.250
7 3078 100 0 0.070 0.250
8 1685 1 0 0.000 0.000
8 3068 2 0 0.000 0.000
8 2776 3 0 0.000 0.000
8 2614 4 0 0.000 0.000
8 2625 5 1 0.200 0.333
8 2852 6 0 0.167 0.333
8 820 7 0 0.143 0.333
8 2951 8 0 0.125 0.333
8 2482 9 0 0.111 0.333
8 1723 10 0 0.100 0.333
8 3059 11 0 0.091 0.333
8 2371 12 0 0.083 0.333
8 1461 13 0 0.077 0.333
8 2407 14 0 0.071 0.333
8 1752 15 0 0.067 0.333
8 2479 16 0 0.062 0.333
8 2949 17 0 0.059 0.333
8 1989 18 0 0.056 0.333
8 3032 19 1 0.105 0.667
8 828 20 0 0.100 0.667
8 2515 21 0 0.095 0.667
8 3038 22 0 0.091 0.667
8 2197 23 0 0.087 0.667
8 1695 24 0 0.083 0.667
8 3076 25 0 0.080 0.667
8 3133 26 0 0.077 0.667
8 2969 27 0 0.074 0.667
8 2219 28 0 0.071 0.667
8 1261 29 0 0.069 0.667
8 1928 30 0 0.067 0.667
8 2138 31 0 0.065 0.667
8 2111 32 0 0.062 0.667
8 1247 33 0 0.061 0.667
8 1444 34 0 0.059 0.667
8 2345 35 0 0.057 0.667
8 3040 36 0 0.056 0.667
8 2578 37 0 0.054 0.667
8 1505 38 0 0.053 0.667
8 1951 39 0 0.051 0.667
8 1688 40 0 0.050 0.667
8 666 41 0 0.049 0.667
8 3150 42 0 0.048 0.667
8 2892 43 0 0.047 0.667
8 2525 44 0 0.045 0.667
8 2882 45 0 0.044 0.667
8 2740 46 0 0.043 0.667
8 1233 47 0 0.043 0.667
8 3134 48 0 0.042 0.667
8 855 49 0 0.041 0.667
8 618 50 0 0.040 0.667
8 2088 51 0 0.039 0.667
8 1687 52 0 0.038 0.667
8 2772 53 0 0.038 0.667
8 2454 54 0 0.037 0.667
8 2858 55 0 0.036 0.667
8 2757 56 0 0.036 0.667
8 2890 57 0 0.035 0.667
8 2840 58 0 0.034 0.667
8 2406 59 0 0.034 0.667
8 2712 60 0 0.033 0.667
8 1751 61 0 0.033 0.667
8 2849 62 1 0.048 1.000
8 3158 63 0 0.048 1.000
8 2830 64 0 0.047 1.000
8 1572 65 0 0.046 1.000
8 3 66 0 0.045 1.000
8 2163 67 0 0.045 1.000
8 1360 68 0 0.044 1.000
8 2567 69 0 0.043 1.000
8 1462 70 0 0.043 1.000
8 1071 71 0 0.042 1.000
8 2905 72 0 0.042 1.000
8 2991 73 0 0.041 1.000
8 2501 74 0 0.041 1.000
8 1634 75 0 0.040 1.000
8 1846 76 0 0.039 1.000
8 1680 77 0 0.039 1.000
8 1591 78 0 0.038 1.000
8 1959 79 0 0.038 1.000
8 2867 80 0 0.037 1.000
8 1196 81 0 0.037 1.000
8 2500 82 0 0.037 1.000
8 1728 83 0 0.036 1.000
8 651 84 0 0.036 1.000
8 2379 85 0 0.035 1.000
8 2522 86 0 0.035 1.000
8 1387 87 0 0.034 1.000
8 1511 88 0 0.034 1.000
8 1690 89 0 0.034 1.000
8 8 90 0 0.033 1.000
8 332 91 0 0.033 1.000
8 2950 92 0 0.033 1.000
8 1611 93 0 0.032 1.000
8 3141 94 0 0.032 1.000
8 2629 95 0 0.032 1.000
8 1910 96 0 0.031 1.000
8 2621 97 0 0.031 1.000
8 2317 98 0 0.031 1.000
8 144 99 0 0.030 1.000
8 2311 100 0 0.030 1.000
9 3068 1 1 1.000 0.111
9 2870 2 1 1.000 0.222
9 2372 3 1 1.000 0.333
9 2525 4 0 0.750 0.333
9 3076 5 0 0.600 0.333
9 3174 6 0 0.500 0.333
9 2776 7 0 0.429 0.333
9 3059 8 0 0.375 0.333
9 1387 9 0 0.333 0.333
9 1685 10 0 0.300 0.333
9 3158 11 1 0.364 0.444
9 2882 12 0 0.333 0.444
9 2578 13 0 0.308 0.444
9 3034 14 0 0.286 0.444
9 2621 15 0 0.267 0.444
9 2888 16 0 0.250 0.444
9 3128 17 1 0.294 0.556
9 2949 18 0 0.278 0.556
9 2479 19 0 0.263 0.556
9 1808 20 0 0.250 0.556
9 1928 21 0 0.238 0.556
9 3002 22 0 0.227 0.556
9 2407 23 0 0.217 0.556
9 2852 24 0 0.208 0.556
9 1827 25 0 0.200 0.556
9 1847 26 0 0.192 0.556
